esik_%,gercekte_bulutlu_%,elenen_%,kaybedilen_temiz_alan_%,kaybedilen_kullanilabilir_goruntu_%,kacan_bulutlu,precision,recall
5,68.23,65.83,31.57,3.607,34,0.9826,0.9481
10,64.69,62.4,25.8,3.54,34,0.98,0.9452
20,60.0,57.81,18.48,4.167,37,0.9712,0.9358
30,56.15,54.06,12.85,2.613,31,0.9788,0.9425
40,53.75,50.21,8.6,2.477,45,0.9772,0.9128
50,50.52,47.92,6.29,2.316,36,0.9761,0.9258
70,46.04,44.06,3.72,3.668,38,0.9551,0.914
90,41.04,39.27,1.88,3.887,39,0.9416,0.901
