calisma noktasi,esik,accuracy,precision,recall,f1,veri_azalmasi_%,kaybedilen_kullanilabilir_%
"mevcut (tum val, precision>=0.99)",0.5904,0.9316,0.9603,0.9123,0.9357,51.78,4.521
belirsiz bant (precision>=0.99),0.8772,0.9033,0.9903,0.8306,0.9035,45.71,0.973
belirsiz bant (precision>=0.995),0.9008,0.8931,0.995,0.8079,0.8917,44.25,0.486
"dengeli (tum val, en iyi F1)",0.4737,0.9357,0.9516,0.9294,0.9404,53.23,5.666
