esik_%,gercekte_bulutlu_%,elenen_%,kaybedilen_temiz_alan_%,kaybedilen_kullanilabilir_goruntu_%,kacan_bulutlu,precision,recall
5,62.1,58.46,19.42,2.989,733,0.9806,0.9231
10,60.0,56.51,15.92,2.865,712,0.9797,0.9227
20,56.6,53.39,10.87,2.58,666,0.979,0.9234
30,54.5,51.42,8.13,2.375,639,0.979,0.9237
40,52.79,49.66,5.98,2.248,644,0.9786,0.9206
50,51.27,48.07,4.44,2.204,656,0.9777,0.9167
70,48.07,45.48,2.62,2.495,597,0.9715,0.9191
90,44.98,42.55,1.52,2.568,590,0.9668,0.9146
