kuantize edilen,boyut_MB,accuracy,precision,recall,f1,roc_auc,latency_ms,sapma
hicbiri (FP32),6.04,0.9833333333333333,0.9801324503311258,0.9866666666666667,0.9833887043189369,0.9960444444444444,5.53,0.0
sadece Conv,1.7,0.5533333333333333,0.5784313725490197,0.3933333333333333,0.46825396825396826,0.6352888888888889,7.45,0.44225
Conv + Gemm,1.7,0.5533333333333333,0.5769230769230769,0.4,0.47244094488188976,0.6305333333333334,7.45,0.44096
Conv + Gemm + Add,1.7,0.5533333333333333,0.5769230769230769,0.4,0.47244094488188976,0.6305333333333334,7.47,0.44096
Conv + Gemm + Mul,1.72,0.5433333333333333,0.5915492957746479,0.28,0.38009049773755654,0.6280666666666666,8.17,0.45326
Conv + Gemm + GlobalAveragePool,1.7,0.5533333333333333,0.5769230769230769,0.4,0.47244094488188976,0.6305333333333334,8.69,0.44096
