esik_%,gercekte_bulutlu_%,elenen_%,kaybedilen_temiz_alan_%,kaybedilen_kullanilabilir_goruntu_%,kacan_bulutlu,precision,recall
5,65.34,64.61,29.5,6.536,115,0.9649,0.9542
10,62.55,61.67,24.07,5.911,119,0.9641,0.9505
20,58.46,57.92,17.91,5.956,116,0.9573,0.9483
30,55.42,55.16,13.78,5.841,110,0.9528,0.9483
40,52.99,52.99,11.12,5.706,103,0.9494,0.9494
50,50.68,50.6,8.6,5.544,108,0.946,0.9445
70,47.03,47.06,5.71,5.211,105,0.9413,0.9419
90,42.99,43.12,3.2,5.116,107,0.9324,0.9352
