,accuracy,precision,recall,f1,yanlis_eleme_%
"1. bulut orani, sabit esik (%30)",0.9476,0.979,0.9237,0.9505,2.38
"2. bulut orani, val'de ayarli esik (0.342)",0.943,0.9821,0.9121,0.9458,1.99
3. esik BELIRSIZ bantta ayarli (0.891),0.875,0.9916,0.7772,0.8714,0.79
4. sekil oznitelikleri (lojistik regresyon),0.9428,0.9811,0.9127,0.9457,2.1
5. yalnizca bulut orani (kontrol),0.943,0.9821,0.9121,0.9458,1.99
